,Character,Lesson
里边, 13
中国城, 13
过, 13
地图, 13
拿, 13
次, 13
从, 13
一直, 13
往, 13
南, 13
路口, 13
西, 13
拐, 13
哎, 13
东西北, 13
前, 13
红绿灯, 13
右, 13
左, 13
前面, 13
谷歌, 13
日文, 13
东京, 13
日本, 13

过, 14
舞会, 14
表姐, 14
中学, 14
送, 14
礼物, 14
本, 14
饮料, 14
水果, 14
把, 14
花, 14
爱, 14
苹果, 14
梨, 14
西瓜, 14
住, 14
重, 14
接, 14
楼, 14
钟头, 14
以为, 14
聪明, 14
用功, 14
暑期, 14
班, 14
长短可爱, 14
去年, 14
属, 14
狗, 14
脸, 14
圆, 14
眼睛, 14
鼻子, 14
嘴, 14
像, 14
长大, 14
一定, 14
蛋糕, 14
最后, 14

病人, 15
医院, 15
看病, 15
肚子, 15
疼死, 15
夜里, 15
好几, 15
厕所, 15
把, 15
冰箱, 15
发烧, 15
躺下, 15
检查, 15
吃坏, 15
打针, 15
药, 15
片, 15
遍, 15
最好, 15
小时, 15
办法, 15
生病, 15
感冒, 15
身体, 15
痒, 15
过敏, 15
药店, 15
健康, 15
保险, 15
赶快, 15
要不然, 15
越来越, 15
上次, 15
休息, 15
懒, 15
再说, 15
乱, 15

同, 16
印象, 16
成, 16
演, 16
费, 16
力气, 16
就, 16
俩, 16
后天, 16
一言为定, 16
记得, 16
想, 16
想起来, 16
号码, 16
搬, 16
打扫, 16
整理, 16
房间, 16
旅行, 16
电, 16

吵, 17
连, 17
做饭, 17
报纸, 17
广告, 17
附近, 17
套, 17
公寓, 17
出租汽车走路, 17
分钟, 17
卧室, 17
厨房, 17
卫生间, 17
客厅, 17
家具, 17
可能, 17
一房一厅, 17
干净, 17
沙发, 17
饭桌, 17
椅子, 17
书桌, 17
书架, 17
那里, 17
安静, 17
房租, 17
元, 17
美元, 17
人民币, 17
差不多, 17
费, 17
押金, 17
当, 17
还, 17
另外, 17
准, 17
养, 17
宠物, 17
兴趣, 17

